Date,Open,High,Low,Close,Adj Close,Volume
2020-04-03,1.290000,1.370000,1.290000,1.360000,1.360000,48100
2020-04-06,1.350000,1.480000,1.350000,1.420000,1.420000,10500
2020-04-07,1.430000,1.650000,1.410000,1.580000,1.580000,33300
2020-04-08,1.640000,1.640000,1.570000,1.570000,1.570000,13100
2020-04-09,1.570000,1.810000,1.570000,1.630000,1.630000,26700
2020-04-13,1.690000,1.690000,1.600000,1.660000,1.660000,3600
2020-04-14,1.600000,1.650000,1.600000,1.620000,1.620000,11000
2020-04-15,1.560000,1.590000,1.480000,1.500000,1.500000,21300
2020-04-16,1.490000,1.560000,1.430000,1.480000,1.480000,16700
2020-04-17,1.470000,1.520000,1.420000,1.430000,1.430000,11100
2020-04-20,1.450000,1.500000,1.310000,1.360000,1.360000,29800
2020-04-21,1.390000,1.400000,1.300000,1.320000,1.320000,16300
2020-04-22,1.390000,1.390000,1.300000,1.310000,1.310000,31300
2020-04-23,1.350000,1.450000,1.350000,1.370000,1.370000,12700
2020-04-24,1.540000,1.540000,1.360000,1.390000,1.390000,21400
2020-04-27,1.400000,1.400000,1.360000,1.390000,1.390000,15100
2020-04-28,2.170000,2.250000,1.530000,1.630000,1.630000,11001700
2020-04-29,1.580000,1.650000,1.510000,1.610000,1.610000,567500
2020-04-30,1.550000,1.670000,1.500000,1.650000,1.650000,336200
2020-05-01,1.600000,1.600000,1.400000,1.560000,1.560000,165400
2020-05-04,1.560000,1.650000,1.500000,1.520000,1.520000,92300
2020-05-05,1.520000,1.740000,1.520000,1.590000,1.590000,120600
2020-05-06,1.610000,1.610000,1.540000,1.590000,1.590000,63100
2020-05-07,1.580000,1.620000,1.560000,1.620000,1.620000,51300
2020-05-08,1.700000,1.720000,1.580000,1.700000,1.700000,440600
2020-05-11,1.700000,1.750000,1.630000,1.680000,1.680000,132900
2020-05-12,1.800000,2.170000,1.800000,2.150000,2.150000,1308600
2020-05-13,2.090000,2.440000,2.070000,2.140000,2.140000,999900
2020-05-14,2.080000,2.080000,1.920000,1.940000,1.940000,276000
2020-05-15,1.900000,2.080000,1.880000,2.000000,2.000000,123400
2020-05-18,2.070000,2.210000,2.030000,2.110000,2.110000,128700
2020-05-19,2.140000,2.190000,2.000000,2.130000,2.130000,160400
2020-05-20,2.120000,2.250000,2.020000,2.250000,2.250000,143500
2020-05-21,2.240000,2.250000,2.020000,2.160000,2.160000,94600
2020-05-22,2.120000,2.200000,2.030000,2.080000,2.080000,174100
2020-05-26,2.100000,2.250000,2.100000,2.180000,2.180000,200000
2020-05-27,2.180000,2.290000,2.180000,2.250000,2.250000,101000
2020-05-28,2.250000,2.780000,2.250000,2.480000,2.480000,615400
2020-05-29,2.500000,2.660000,2.420000,2.620000,2.620000,214700
2020-06-01,2.570000,2.990000,2.550000,2.920000,2.920000,414700
2020-06-02,3.050000,3.240000,3.000000,3.160000,3.160000,550200
2020-06-03,3.130000,3.310000,2.860000,2.920000,2.920000,397500
2020-06-04,2.890000,3.100000,2.770000,2.970000,2.970000,241700
2020-06-05,3.050000,3.120000,2.990000,2.990000,2.990000,141500
2020-06-08,3.130000,3.170000,2.990000,3.050000,3.050000,182300
2020-06-09,3.050000,3.290000,3.050000,3.230000,3.230000,225700
2020-06-10,3.240000,3.270000,3.070000,3.200000,3.200000,99300
2020-06-11,3.000000,3.200000,2.860000,2.920000,2.920000,298800
2020-06-12,2.870000,3.040000,2.870000,2.900000,2.900000,108400
